date,temperature_2m,precipitation,humidity_2m
2021-01-28,22.48,0.22,72.53
2021-01-29,23.03,0.02,64.89
2021-01-30,22.61,0.76,72.22
2021-01-31,23.11,1.36,66.52
2021-02-01,21.22,0.06,65.28
2021-02-02,22.64,0.09,64.98
2021-02-03,23.32,1.32,65.86
2021-02-04,23.06,6.15,70.37
2021-02-05,23.12,0.56,69.0
2021-02-06,23.44,0.21,65.79
2021-02-07,22.27,0.0,63.12
2021-02-08,22.06,0.01,68.63
2021-02-09,23.1,0.3,75.26
2021-02-10,23.96,0.72,72.01
2021-02-11,22.8,2.26,77.96
2021-02-12,23.4,2.19,72.46
2021-02-13,23.06,3.38,75.68
2021-02-14,21.75,1.46,84.49
2021-02-15,23.35,4.12,75.76
2021-02-16,23.1,7.26,78.63
2021-02-17,23.41,2.23,77.4
2021-02-18,23.36,2.94,78.33
2021-02-19,23.44,5.94,75.55
2021-02-20,21.93,0.66,80.91
2021-02-21,20.81,0.02,75.94
2021-02-22,21.08,0.55,78.72
2021-02-23,21.09,2.79,78.08
2021-02-24,22.38,0.1,75.26
2021-02-25,22.36,0.19,74.05
2021-02-26,23.27,0.49,72.62
2021-02-27,23.2,0.18,71.95
2021-02-28,24.2,0.03,65.79
2021-03-01,24.03,0.22,70.05
2021-03-02,24.28,0.49,69.84
2021-03-03,24.39,0.06,70.41
2021-03-04,23.86,0.65,72.19
2021-03-05,23.75,1.96,74.19
2021-03-06,22.12,3.36,81.83
2021-03-07,23.04,1.04,74.72
2021-03-08,23.49,0.73,73.88
2021-03-09,23.27,1.19,73.98
2021-03-10,23.76,0.57,67.85
2021-03-11,24.07,0.06,67.43
2021-03-12,24.41,0.0,64.18
2021-03-13,24.63,0.01,64.45
2021-03-14,25.02,0.02,64.94
2021-03-15,23.95,0.15,71.75
2021-03-16,23.2,3.78,75.03
2021-03-17,23.12,4.19,77.59
2021-03-18,22.13,1.23,80.19
2021-03-19,23.15,2.32,74.69
2021-03-20,22.57,12.35,80.2
2021-03-21,22.15,1.72,80.94
2021-03-22,22.01,7.64,81.38
2021-03-23,22.96,1.76,76.61
2021-03-24,22.6,2.35,78.21
2021-03-25,22.38,0.81,80.07
2021-03-26,23.02,0.26,76.62
2021-03-27,21.7,0.48,76.65
2021-03-28,22.41,1.45,71.22
2021-03-29,23.07,2.89,74.11
2021-03-30,22.48,4.38,80.38
2021-03-31,21.31,24.0,85.69
2021-04-01,22.2,4.32,81.61
2021-04-02,21.89,11.65,86.33
2021-04-03,21.98,11.15,80.35
2021-04-04,20.86,9.85,87.25
2021-04-05,21.9,2.18,83.18
2021-04-06,21.4,3.12,79.98
2021-04-07,22.67,4.18,77.31
2021-04-08,21.65,4.9,85.77
2021-04-09,21.12,4.14,88.68
2021-04-10,21.72,11.35,83.5
2021-04-11,21.55,3.55,86.91
2021-04-12,20.81,7.2,88.16
2021-04-13,19.97,13.51,92.13
2021-04-14,21.61,0.43,80.47
2021-04-15,22.0,0.2,81.42
2021-04-16,22.11,0.81,82.9
2021-04-17,22.06,6.08,85.02
2021-04-18,21.64,2.6,87.8
2021-04-19,22.83,17.96,82.16
2021-04-20,21.99,6.48,85.15
2021-04-21,20.72,9.18,89.81
2021-04-22,21.65,1.59,85.83
2021-04-23,20.99,9.59,85.61
2021-04-24,20.87,11.62,83.89
2021-04-25,20.13,3.98,89.56
2021-04-26,20.75,11.55,86.2
2021-04-27,21.81,2.01,79.7
2021-04-28,21.79,0.4,81.16
2021-04-29,22.31,14.44,84.19
2021-04-30,22.44,5.96,82.58
2021-05-01,21.93,2.05,85.15
2021-05-02,22.23,1.86,83.27
2021-05-03,22.32,8.66,81.23
2021-05-04,20.84,0.81,85.76
2021-05-05,20.74,0.71,87.88
2021-05-06,21.1,8.37,85.85
2021-05-07,20.41,23.07,89.24
2021-05-08,19.95,4.37,90.81
2021-05-09,20.07,2.97,88.28
2021-05-10,20.11,4.71,87.32
2021-05-11,20.65,4.52,87.39
2021-05-12,20.07,4.48,92.33
2021-05-13,22.15,0.39,77.02
2021-05-14,21.95,1.44,83.04
2021-05-15,21.55,2.13,85.55
2021-05-16,21.89,1.07,85.09
2021-05-17,22.57,0.46,80.39
2021-05-18,21.46,0.75,86.58
2021-05-19,20.37,4.14,90.93
2021-05-20,21.23,1.22,84.1
2021-05-21,21.55,1.08,84.62
2021-05-22,22.15,1.85,83.09
2021-05-23,21.76,1.19,82.29
2021-05-24,21.28,1.37,81.06
2021-05-25,21.45,0.56,77.43
2021-05-26,20.91,0.1,81.77
2021-05-27,21.45,0.29,81.43
2021-05-28,22.41,0.08,76.68
2021-05-29,22.28,0.04,76.83
2021-05-30,21.72,0.38,82.77
2021-05-31,22.43,0.23,81.22
2021-06-01,22.24,0.02,80.17
2021-06-02,22.17,0.02,76.19
2021-06-03,21.74,0.0,78.08
2021-06-04,21.17,0.09,81.84
2021-06-05,21.34,1.02,82.88
2021-06-06,20.42,4.55,85.45
2021-06-07,20.61,0.7,82.98
2021-06-08,21.38,0.3,77.65
2021-06-09,21.61,0.09,78.05
2021-06-10,21.62,0.03,75.26
2021-06-11,21.66,0.07,74.96
2021-06-12,20.72,0.7,79.86
2021-06-13,21.82,0.04,73.06
2021-06-14,21.87,0.65,73.76
2021-06-15,21.64,1.41,77.52
2021-06-16,20.75,1.35,84.19
2021-06-17,21.52,0.44,79.05
2021-06-18,19.8,0.85,88.26
2021-06-19,20.78,0.39,80.82
2021-06-20,20.71,0.31,78.87
2021-06-21,19.65,0.61,82.32
2021-06-22,20.81,0.05,76.34
2021-06-23,21.05,0.14,75.92
2021-06-24,20.74,0.04,74.71
2021-06-25,20.35,1.08,78.1
2021-06-26,21.13,0.33,73.66
2021-06-27,21.31,0.05,71.3
2021-06-28,20.8,1.9,75.53
2021-06-29,20.63,0.77,75.18
2021-06-30,20.74,0.94,77.52
2021-07-01,21.17,0.55,75.64
2021-07-02,21.61,0.03,73.32
2021-07-03,21.42,0.46,73.12
2021-07-04,21.74,0.09,69.42
2021-07-05,21.48,0.07,69.51
2021-07-06,20.84,0.02,71.31
2021-07-07,20.97,0.08,71.08
2021-07-08,20.4,1.15,73.24
2021-07-09,20.49,1.01,77.19
2021-07-10,21.09,0.27,73.2
2021-07-11,21.5,0.11,69.54
2021-07-12,21.02,0.24,71.16
2021-07-13,21.42,0.27,72.71
2021-07-14,21.59,0.54,75.02
2021-07-15,21.65,1.5,74.79
2021-07-16,21.51,1.54,72.93
2021-07-17,20.85,0.0,69.95
2021-07-18,21.02,0.0,67.53
2021-07-19,21.28,0.01,64.53
2021-07-20,21.48,0.0,65.75
2021-07-21,21.55,0.0,70.25
2021-07-22,21.24,0.0,70.25
2021-07-23,21.34,0.0,66.24
2021-07-24,21.87,0.0,68.02
2021-07-25,21.07,0.01,65.8
2021-07-26,20.96,0.0,66.68
2021-07-27,21.01,0.0,67.23
2021-07-28,21.4,0.01,68.4
2021-07-29,22.02,0.23,67.23
2021-07-30,21.89,0.14,66.92
2021-07-31,21.74,0.03,63.91
2021-08-01,21.4,0.09,66.76
2021-08-02,21.07,0.28,72.06
2021-08-03,22.82,0.1,64.05
2021-08-04,23.42,0.2,64.82
2021-08-05,23.29,0.74,67.86
2021-08-06,23.49,0.56,66.38
2021-08-07,23.47,0.44,66.89
2021-08-08,23.87,1.13,65.13
2021-08-09,21.5,6.25,80.97
2021-08-10,21.48,3.61,78.89
2021-08-11,20.66,0.31,82.55
2021-08-12,21.91,0.34,74.08
2021-08-13,23.29,0.6,71.18
2021-08-14,20.73,3.02,83.34
2021-08-15,21.52,0.36,72.14
2021-08-16,22.48,0.25,67.22
2021-08-17,22.31,0.14,68.98
2021-08-18,22.46,0.61,71.24
2021-08-19,23.07,0.23,68.9
2021-08-20,22.72,0.6,72.15
2021-08-21,23.23,0.27,67.9
2021-08-22,22.92,0.51,68.1
2021-08-23,23.43,0.17,64.07
2021-08-24,22.93,0.18,66.64
2021-08-25,23.72,0.16,62.56
2021-08-26,24.2,0.1,60.44
2021-08-27,23.65,0.1,60.33
2021-08-28,24.06,0.01,53.34
2021-08-29,24.95,0.0,52.44
2021-08-30,23.75,0.16,67.79
2021-08-31,23.67,1.59,68.89
2021-09-01,21.42,0.66,80.47
2021-09-02,22.58,1.31,71.77
2021-09-03,21.17,11.53,80.17
2021-09-04,20.8,1.96,81.15
2021-09-05,22.4,2.53,72.06
2021-09-06,22.83,4.88,73.16
2021-09-07,23.08,0.22,70.83
2021-09-08,23.12,0.54,70.79
2021-09-09,20.87,8.46,82.34
2021-09-10,20.13,1.91,86.4
2021-09-11,21.63,0.98,75.66
2021-09-12,22.15,0.43,71.64
2021-09-13,21.84,3.77,74.01
2021-09-14,23.49,0.6,65.37
2021-09-15,24.39,1.38,63.52
2021-09-16,24.1,4.63,67.18
2021-09-17,23.2,5.76,74.99
2021-09-18,21.0,7.6,82.55
2021-09-19,21.2,11.15,80.89
2021-09-20,21.76,3.4,77.94
2021-09-21,22.76,1.02,71.82
2021-09-22,20.9,3.6,79.9
2021-09-23,22.3,0.33,71.52
2021-09-24,21.41,2.44,80.22
2021-09-25,21.41,3.49,77.95
2021-09-26,22.5,0.36,71.65
2021-09-27,21.99,0.53,75.17
2021-09-28,23.42,1.79,70.74
2021-09-29,23.76,0.89,67.31
2021-09-30,22.85,1.31,73.28
2021-10-01,23.85,0.72,68.34
2021-10-02,23.54,8.04,73.17
2021-10-03,21.15,4.64,83.49
2021-10-04,21.55,1.05,78.31
2021-10-05,23.25,1.82,71.01
2021-10-06,21.87,1.56,81.44
2021-10-07,22.97,0.88,70.32
2021-10-08,24.14,1.21,63.72
2021-10-09,23.67,0.71,71.89
2021-10-10,23.92,0.93,69.22
2021-10-11,23.25,3.5,73.47
2021-10-12,21.0,4.59,83.14
2021-10-13,22.04,0.69,73.49
2021-10-14,23.98,0.64,65.99
2021-10-15,23.78,5.56,70.82
2021-10-16,23.72,1.09,69.18
2021-10-17,24.12,0.65,69.41
2021-10-18,23.33,1.77,73.87
2021-10-19,22.62,3.92,80.39
2021-10-20,22.29,5.56,81.56
2021-10-21,21.27,23.81,85.83
2021-10-22,21.79,2.78,80.76
2021-10-23,23.33,1.45,71.3
2021-10-24,24.28,0.1,66.26
2021-10-25,24.35,0.21,67.73
2021-10-26,24.78,1.42,64.11
2021-10-27,23.12,4.05,74.33
2021-10-28,21.95,13.6,81.55
2021-10-29,22.73,2.32,76.11
2021-10-30,22.54,2.6,77.71
2021-10-31,23.46,3.94,74.12
2021-11-01,23.19,0.41,71.9
2021-11-02,22.53,9.65,75.87
2021-11-03,22.19,15.66,79.46
2021-11-04,21.55,22.28,81.32
2021-11-05,22.01,8.14,78.05
2021-11-06,22.04,17.69,80.97
2021-11-07,21.78,3.36,83.98
2021-11-08,22.07,1.11,80.32
2021-11-09,20.96,1.16,85.26
2021-11-10,22.21,1.32,78.98
2021-11-11,22.9,7.97,76.77
2021-11-12,21.78,0.9,79.36
2021-11-13,22.72,0.59,76.51
2021-11-14,23.56,0.2,70.51
2021-11-15,23.47,0.14,69.64
2021-11-16,22.23,10.73,78.8
2021-11-17,23.04,0.71,74.65
2021-11-18,22.7,0.97,76.15
2021-11-19,23.05,0.68,73.21
2021-11-20,22.22,1.89,76.41
2021-11-21,21.74,11.34,83.57
2021-11-22,22.22,11.09,78.84
2021-11-23,22.99,1.28,73.48
2021-11-24,22.95,4.22,76.22
2021-11-25,21.27,67.64,86.31
2021-11-26,21.05,4.33,84.93
2021-11-27,21.28,4.18,86.08
2021-11-28,21.72,1.1,81.07
2021-11-29,22.2,2.98,80.04
2021-11-30,21.33,6.81,83.24
2021-12-01,21.89,1.19,78.88
2021-12-02,22.31,0.11,75.27
2021-12-03,21.65,1.37,81.16
2021-12-04,22.38,1.0,79.67
2021-12-05,21.67,2.17,82.16
2021-12-06,21.92,0.54,77.4
2021-12-07,22.63,3.94,76.46
2021-12-08,22.61,3.18,75.97
2021-12-09,22.49,3.62,76.35
2021-12-10,21.93,14.87,80.65
2021-12-11,22.95,1.02,71.66
2021-12-12,21.68,0.0,68.16
2021-12-13,22.62,0.12,72.1
2021-12-14,22.81,2.13,76.43
2021-12-15,22.06,5.16,81.22
2021-12-16,23.28,0.99,73.36
2021-12-17,23.41,6.08,69.73
2021-12-18,22.89,1.01,72.9
2021-12-19,22.58,5.66,78.06
2021-12-20,23.37,2.48,75.51
2021-12-21,24.47,2.52,70.32
2021-12-22,24.03,1.24,69.98
2021-12-23,24.04,2.22,72.08
2021-12-24,23.62,1.65,73.7
2021-12-25,23.05,3.1,76.85
2021-12-26,23.34,3.8,75.87
2021-12-27,22.63,0.86,76.95
2021-12-28,23.22,5.95,74.75
2021-12-29,21.95,9.9,81.44
2021-12-30,23.58,1.92,71.13
2021-12-31,22.5,1.63,75.9
2022-01-01,22.51,0.12,71.39
2022-01-02,22.17,0.14,74.85
2022-01-03,23.04,0.19,70.7
2022-01-04,23.84,0.1,66.68
2022-01-05,23.69,0.02,62.98
2022-01-06,24.2,0.08,63.11
2022-01-07,24.51,0.01,64.02
2022-01-08,24.83,0.03,66.95
2022-01-09,25.32,0.0,60.96
2022-01-10,24.96,0.0,60.74
2022-01-11,24.75,0.01,60.52
2022-01-12,24.94,0.0,53.18
2022-01-13,23.85,0.0,51.03
2022-01-14,24.18,0.19,56.47
2022-01-15,23.08,8.55,72.09
2022-01-16,21.1,3.72,85.75
2022-01-17,21.14,1.48,79.98
2022-01-18,20.78,11.44,84.31
2022-01-19,22.42,2.33,71.73
2022-01-20,21.79,3.89,73.09
2022-01-21,22.74,1.37,67.65
2022-01-22,23.15,2.24,70.51
2022-01-23,22.1,7.7,77.87
2022-01-24,23.07,1.17,70.95
2022-01-25,23.88,0.0,62.07
2022-01-26,23.57,0.0,61.14
2022-01-27,23.94,0.01,55.07
2022-01-28,23.54,0.01,56.66
2022-01-29,25.02,0.03,58.98
2022-01-30,24.42,1.95,64.73
2022-01-31,23.08,0.18,67.67
2022-02-01,22.21,0.2,69.91
2022-02-02,23.66,0.39,69.11
2022-02-03,23.31,0.33,69.94
2022-02-04,23.63,0.59,66.81
2022-02-05,21.79,11.78,73.74
2022-02-06,22.48,6.2,63.3
2022-02-07,23.6,0.08,59.45
2022-02-08,23.05,0.47,70.2
2022-02-09,23.74,1.41,69.64
2022-02-10,23.58,0.28,68.44
2022-02-11,23.81,0.94,68.42
2022-02-12,24.1,2.43,69.3
2022-02-13,24.08,2.16,68.77
2022-02-14,24.62,1.31,65.46
2022-02-15,23.12,0.6,74.51
2022-02-16,22.89,0.59,72.25
2022-02-17,23.2,0.17,70.75
2022-02-18,22.46,0.88,75.59
2022-02-19,22.32,0.32,76.75
2022-02-20,22.84,4.67,76.21
2022-02-21,22.5,0.66,73.35
2022-02-22,24.63,1.21,57.04
2022-02-23,23.32,0.72,65.58
2022-02-24,24.31,0.57,68.44
2022-02-25,22.55,0.89,79.7
2022-02-26,22.73,1.39,74.76
2022-02-27,23.89,3.46,69.32
2022-02-28,24.33,0.3,69.44
2022-03-01,25.25,0.56,66.17
2022-03-02,24.37,95.57,70.79
2022-03-03,24.37,9.43,69.48
2022-03-04,24.81,8.66,67.73
2022-03-05,24.96,3.8,65.27
2022-03-06,25.12,1.79,63.07
2022-03-07,25.01,3.97,67.2
2022-03-08,24.56,13.69,70.4
2022-03-09,25.3,4.44,66.13
2022-03-10,25.47,0.46,65.66
2022-03-11,25.08,0.25,66.36
2022-03-12,25.29,0.28,65.33
2022-03-13,25.21,0.11,63.27
2022-03-14,25.06,2.02,66.04
2022-03-15,25.29,1.03,64.29
2022-03-16,24.77,5.65,68.12
2022-03-17,23.58,1.36,71.48
2022-03-18,23.89,0.57,69.74
2022-03-19,23.82,1.37,72.9
2022-03-20,24.25,0.89,71.37
2022-03-21,24.65,1.4,71.1
2022-03-22,23.62,9.26,75.96
2022-03-23,22.19,3.21,82.23
2022-03-24,23.37,15.54,75.82
2022-03-25,22.82,3.29,79.92
2022-03-26,23.11,3.98,76.69
2022-03-27,21.34,6.99,85.5
2022-03-28,22.32,3.06,79.6
2022-03-29,21.01,10.42,86.94
2022-03-30,21.56,15.47,82.21
2022-03-31,22.88,2.33,77.67
2022-04-01,23.21,1.83,77.42
2022-04-02,24.04,8.11,74.38
2022-04-03,23.64,0.29,66.95
2022-04-04,24.33,0.18,66.96
2022-04-05,23.3,2.2,75.97
2022-04-06,23.16,1.17,78.33
2022-04-07,23.27,1.41,75.44
2022-04-08,22.8,1.15,77.24
2022-04-09,23.25,1.14,74.6
2022-04-10,24.3,0.68,69.74
2022-04-11,24.61,0.91,67.19
2022-04-12,23.45,3.71,74.47
2022-04-13,23.2,3.37,76.88
2022-04-14,23.24,2.55,77.19
2022-04-15,21.37,3.74,88.45
2022-04-16,21.23,8.9,82.13
2022-04-17,22.22,0.45,74.99
2022-04-18,23.47,0.66,73.74
2022-04-19,22.87,11.72,81.84
2022-04-20,23.19,0.78,79.62
2022-04-21,20.82,9.44,88.83
2022-04-22,22.02,19.52,81.03
2022-04-23,22.88,9.65,78.57
2022-04-24,20.7,12.63,91.05
2022-04-25,22.43,3.97,80.16
2022-04-26,20.93,2.8,86.56
2022-04-27,21.77,1.95,81.86
2022-04-28,21.75,3.95,81.42
2022-04-29,21.97,2.3,82.11
2022-04-30,22.6,14.25,80.65
2022-05-01,20.8,19.16,87.36
2022-05-02,21.25,7.29,85.19
2022-05-03,21.76,2.4,84.77
2022-05-04,21.95,2.29,81.89
2022-05-05,21.98,1.62,81.15
2022-05-06,20.47,30.41,89.94
2022-05-07,21.66,1.8,84.59
2022-05-08,21.54,4.41,86.54
2022-05-09,21.45,5.35,85.07
2022-05-10,22.35,0.57,81.78
2022-05-11,22.72,0.31,80.7
2022-05-12,21.91,0.72,84.37
2022-05-13,22.87,0.77,79.25
2022-05-14,23.06,0.52,77.55
2022-05-15,23.09,0.94,78.2
2022-05-16,22.44,0.87,78.89
2022-05-17,22.54,1.63,78.59
2022-05-18,21.75,5.14,82.89
2022-05-19,21.87,0.61,78.84
2022-05-20,22.42,1.86,79.39
2022-05-21,22.29,1.32,80.17
2022-05-22,22.27,0.32,78.38
2022-05-23,22.19,0.74,76.25
2022-05-24,21.08,0.55,82.39
2022-05-25,20.85,3.15,82.19
2022-05-26,20.23,12.93,87.33
2022-05-27,21.63,4.84,80.35
2022-05-28,20.01,4.07,91.94
2022-05-29,19.57,7.55,90.29
2022-05-30,19.62,4.71,87.25
2022-05-31,20.87,0.19,81.11
2022-06-01,21.48,0.43,79.26
2022-06-02,21.12,2.07,82.07
2022-06-03,21.13,0.34,76.83
2022-06-04,21.26,0.06,75.02
2022-06-05,21.09,0.47,75.8
2022-06-06,21.28,0.17,74.45
2022-06-07,21.25,0.95,76.27
2022-06-08,21.08,4.47,79.05
2022-06-09,19.9,2.64,83.39
2022-06-10,20.99,0.89,77.79
2022-06-11,21.48,1.1,77.12
2022-06-12,21.09,6.59,81.22
2022-06-13,21.66,1.97,75.49
2022-06-14,22.36,0.57,71.12
2022-06-15,22.78,0.86,70.64
2022-06-16,22.43,8.07,74.78
2022-06-17,22.59,1.85,75.37
2022-06-18,22.18,1.36,74.67
2022-06-19,20.76,22.15,85.01
2022-06-20,19.66,2.14,86.27
2022-06-21,20.91,0.11,77.61
2022-06-22,21.27,0.25,74.53
2022-06-23,21.01,0.43,75.16
2022-06-24,20.42,0.82,79.61
2022-06-25,20.7,0.14,77.34
2022-06-26,20.95,0.23,72.71
2022-06-27,21.53,0.07,70.39
2022-06-28,20.88,0.6,73.58
2022-06-29,20.79,0.16,71.31
2022-06-30,21.85,0.01,69.52
2022-07-01,21.5,0.01,71.36
2022-07-02,21.19,0.03,70.57
2022-07-03,21.09,0.0,67.6
2022-07-04,20.16,0.0,70.97
2022-07-05,20.41,0.0,66.02
2022-07-06,21.24,0.0,67.47
2022-07-07,21.51,0.0,69.36
2022-07-08,20.98,0.0,68.84
2022-07-09,20.91,0.0,68.85
2022-07-10,20.71,0.15,68.36
2022-07-11,21.16,0.11,68.48
2022-07-12,21.3,1.18,70.39
2022-07-13,21.4,1.32,71.0
2022-07-14,21.57,0.03,69.6
2022-07-15,21.74,0.2,72.25
2022-07-16,22.06,1.1,71.44
2022-07-17,23.01,0.53,64.71
2022-07-18,21.55,0.82,71.18
2022-07-19,21.57,1.33,72.03
2022-07-20,21.71,0.1,66.96
2022-07-21,21.46,0.32,67.04
2022-07-22,21.89,0.01,61.75
2022-07-23,21.59,0.32,67.39
2022-07-24,22.11,0.17,65.0
2022-07-25,22.56,0.46,66.14
2022-07-26,22.17,3.02,66.88
2022-07-27,22.57,1.34,67.85
2022-07-28,23.34,0.42,64.13
2022-07-29,22.65,7.81,74.07
2022-07-30,20.41,16.24,86.68
2022-07-31,19.91,2.69,85.59
2022-08-01,21.38,11.18,75.02
2022-08-02,19.63,2.33,85.99
2022-08-03,20.86,0.98,77.22
2022-08-04,21.6,0.98,74.08
2022-08-05,21.67,0.4,71.76
2022-08-06,21.87,0.45,70.61
2022-08-07,22.09,0.32,68.49
2022-08-08,22.12,0.17,66.66
2022-08-09,22.5,0.09,62.95
2022-08-10,22.05,0.51,65.73
2022-08-11,22.54,1.71,66.37
2022-08-12,22.36,4.52,70.16
2022-08-13,22.56,8.6,74.45
2022-08-14,22.49,2.1,74.7
2022-08-15,22.17,4.84,77.46
2022-08-16,20.43,28.95,86.38
2022-08-17,20.95,7.98,83.96
2022-08-18,21.14,4.82,76.52
2022-08-19,21.42,0.32,72.35
2022-08-20,22.46,1.55,75.79
2022-08-21,21.25,0.29,79.46
2022-08-22,22.22,0.73,70.09
2022-08-23,22.02,6.79,74.13
2022-08-24,21.41,1.44,74.39
2022-08-25,21.43,0.61,69.82
2022-08-26,22.53,0.31,66.81
2022-08-27,22.8,0.34,67.77
2022-08-28,21.6,3.87,77.34
2022-08-29,21.56,1.99,80.18
2022-08-30,21.82,4.69,78.15
2022-08-31,22.23,2.2,75.21
2022-09-01,22.11,4.43,73.93
2022-09-02,20.82,3.17,81.34
2022-09-03,21.35,5.06,74.5
2022-09-04,21.82,1.09,70.74
2022-09-05,22.37,4.43,74.65
2022-09-06,22.01,3.13,77.28
2022-09-07,21.2,6.96,79.96
2022-09-08,21.42,0.34,76.59
2022-09-09,22.68,1.24,71.06
2022-09-10,22.47,3.57,74.92
2022-09-11,22.92,1.67,74.37
2022-09-12,22.89,1.91,74.42
2022-09-13,21.9,5.48,81.38
2022-09-14,21.28,5.09,80.46
2022-09-15,21.21,4.05,80.56
